State,Year,Quarter,District,Count,Amount
odisha,2024,1,baleshwar,39111358,60077711596.0
odisha,2024,1,sundargarh,35895728,49533434476.0
odisha,2024,1,kendujhar,32149938,46573838578.0
odisha,2024,1,anugul,30743658,43736663472.0
odisha,2024,1,bhadrak,29274880,41410056177.0
odisha,2024,3,khordha,219223126,218720654419.0
odisha,2024,3,cuttack,86537025,99181211278.0
odisha,2024,3,ganjam,67110700,93661811483.0
odisha,2024,3,jajpur,57710635,60524315306.0
odisha,2024,3,baleswar,46739065,61104419412.0
odisha,2024,3,puri,45434137,51527895040.0
odisha,2024,3,sundargarh,43980412,52238864809.0
odisha,2024,3,kendujhar,37944145,45739347499.0
odisha,2024,3,angul,37402898,44988924295.0
odisha,2024,3,bhadrak,33003693,38175767510.0
odisha,2024,4,khordha,241275385,236501632994.0
odisha,2024,4,cuttack,96971577,109561624077.0
odisha,2024,4,ganjam,74444120,102966953312.0
odisha,2024,4,jajpur,63939600,66396851602.0
odisha,2024,4,baleswar,51968045,67065208497.0
odisha,2024,4,puri,50125369,56358398232.0
odisha,2024,4,sundargarh,49927848,59344633833.0
odisha,2024,4,kendujhar,42553175,51128257389.0
odisha,2024,4,angul,41161308,49968489656.0
odisha,2024,4,bhadrak,37183678,42157833986.0
odisha,2024,2,khordha,197825338,205153207204.0
odisha,2024,2,cuttack,78269358,95412999679.0
odisha,2024,2,ganjam,63766550,93190139246.0
odisha,2024,2,jajapur,52025015,59329326183.0
odisha,2024,2,puri,43542553,52594882573.0
odisha,2024,2,baleshwar,43222684,61494635663.0
odisha,2024,2,sundargarh,40543702,52113634534.0
odisha,2024,2,kendujhar,35470436,47196844172.0
odisha,2024,2,anugul,33579654,43706439193.0
odisha,2024,2,bhadrak,32335280,40605163189.0
odisha,2022,1,khordha,104052705,152745328927.4852
odisha,2022,1,cuttack,18955932,31482914773.528687
odisha,2022,1,ganjam,14289760,29674857683.21894
odisha,2022,1,jajapur,10760033,17569845983.615986
odisha,2022,1,baleshwar,10164531,19169857482.365425
odisha,2022,1,puri,9268269,15063520180.06602
odisha,2022,1,sundargarh,8621086,15915215285.753382
odisha,2022,1,kendujhar,7553005,15056691322.671288
odisha,2022,1,bhadrak,7049860,12413725786.608274
odisha,2022,1,anugul,6423393,12666904909.368557
odisha,2022,3,khordha,182514532,234713995654.54218
odisha,2022,3,cuttack,26643179,39407252993.22239
odisha,2022,3,ganjam,18696976,33504012152.53193
odisha,2022,3,jajapur,13031811,18746602447.445084
odisha,2022,3,sundargarh,12922754,20430235862.00017
odisha,2022,3,baleshwar,11721722,19704921264.794838
odisha,2022,3,puri,11193823,16592473105.31533
odisha,2022,3,kendujhar,8971733,14742503568.623665
odisha,2022,3,bhadrak,8725910,13285204298.360704
odisha,2022,3,anugul,8115183,13631294531.285406
odisha,2022,4,khordha,208260666,268479766618.40594
odisha,2022,4,cuttack,30402517,45410411960.17212
odisha,2022,4,ganjam,22374745,39538930037.66425
odisha,2022,4,jajapur,14867125,21337793694.560028
odisha,2022,4,sundargarh,13451927,21877712615.61438
odisha,2022,4,baleshwar,13396460,22861471772.138065
odisha,2022,4,puri,13182742,19540224955.19215
odisha,2022,4,anugul,12295417,19745058048.99432
odisha,2022,4,kendujhar,10410170,17491124060.737698
odisha,2022,4,sambalpur,10274024,14842758106.879675
odisha,2022,2,khordha,124986765,174299128204.99298
odisha,2022,2,cuttack,22544912,36561231371.455444
odisha,2022,2,ganjam,17162973,34095586248.50308
odisha,2022,2,jajapur,12788486,20441535607.89478
odisha,2022,2,baleshwar,12044394,22154827661.360664
odisha,2022,2,puri,11076675,17846685658.05171
odisha,2022,2,sundargarh,10183902,18077191337.901314
odisha,2022,2,kendujhar,8741853,16383523040.274462
odisha,2022,2,bhadrak,8276685,14146459101.732891
odisha,2022,2,anugul,7523854,13937160595.230968
odisha,2020,1,khordha,23152370,39755139238.6053
odisha,2020,1,cuttack,4024520,5842461996.611475
odisha,2020,1,ganjam,2622872,5351713624.577465
odisha,2020,1,baleshwar,2303973,3252830642.8493247
odisha,2020,1,jajapur,2166952,3390103391.1967616
odisha,2020,1,puri,1788019,2673428317.4419956
odisha,2020,1,sundargarh,1644012,2694884103.7261004
odisha,2020,1,bhadrak,1450538,2346314618.120599
odisha,2020,1,kendujhar,1413416,2398684449.9746833
odisha,2020,1,anugul,1176601,2199325035.2223163
odisha,2020,3,khordha,23387123,44638448273.522484
odisha,2020,3,cuttack,5060890,8273230957.575866
odisha,2020,3,ganjam,3839868,7953863604.839375
odisha,2020,3,jajapur,2999596,5158572435.142748
odisha,2020,3,baleshwar,2923704,5216210715.3624935
odisha,2020,3,puri,2508367,3947100295.1771955
odisha,2020,3,sundargarh,2196403,3933817517.015165
odisha,2020,3,kendujhar,2057809,3776890615.1413703
odisha,2020,3,bhadrak,2028722,3426773014.861333
odisha,2020,3,anugul,1744600,3343482976.3347354
odisha,2020,4,khordha,30354832,54573862957.883156
odisha,2020,4,cuttack,7649233,13515958605.271858
odisha,2020,4,ganjam,5759948,13253685787.514482
odisha,2020,4,jajapur,4383403,8064953082.11138
odisha,2020,4,baleshwar,3989220,7694990828.293821
odisha,2020,4,puri,3709394,6257350469.108795
odisha,2020,4,sundargarh,3330883,6393696705.870721
odisha,2020,4,kendujhar,2911896,5952433266.6475725
odisha,2020,4,bhadrak,2820751,5186943315.86205
odisha,2020,4,anugul,2566879,5376845657.748442
odisha,2020,2,khordha,16842715,34814877058.41614
odisha,2020,2,cuttack,3964715,6130914551.435392
odisha,2020,2,ganjam,2890005,5465974236.170575
odisha,2020,2,jajapur,2289121,3594755068.4098186
odisha,2020,2,baleshwar,2140956,3546636201.5880756
odisha,2020,2,puri,1909766,2861457530.847565
odisha,2020,2,sundargarh,1703737,2767383294.9817257
odisha,2020,2,kendujhar,1613148,2773560564.5270324
odisha,2020,2,bhadrak,1596539,2600823926.1950965
odisha,2020,2,anugul,1343647,2479132333.718764
telangana,2023,1,rangareddy,329344012,487359310308.0
telangana,2023,1,hyderabad,286887382,415188829698.0
telangana,2023,1,medchal malkajgiri,256028955,382423152200.0
telangana,2023,1,sangareddy,64762361,104869739922.0
telangana,2023,1,warangal urban,47328651,87860641183.0
telangana,2023,1,nalgonda,36293901,71134878439.0
telangana,2023,1,khammam,31419139,62870355301.0
telangana,2023,1,karimnagar,30992192,60096322074.0
telangana,2023,1,nizamabad,29666757,63849185228.0
telangana,2023,1,siddipet,24660934,48406373565.0
telangana,2023,3,rangareddy,439381886,615864362548.0
telangana,2023,3,hyderabad,371834420,505153023373.0
telangana,2023,3,medchal malkajgiri,341559058,477958010169.0
telangana,2023,3,sangareddy,86831652,129280748237.0
telangana,2023,3,warangal urban,58807111,102993525406.0
telangana,2023,3,nalgonda,46150123,83538473626.0
telangana,2023,3,khammam,40556956,72269888825.0
telangana,2023,3,karimnagar,39168527,71587338439.0
telangana,2023,3,nizamabad,37772113,74042361319.0
telangana,2023,3,siddipet,31010716,57176670840.0
telangana,2023,4,rangareddy,460487052,647241284036.0
telangana,2023,4,hyderabad,388720083,532414580487.0
telangana,2023,4,medchal malkajgiri,362103399,502048775975.0
telangana,2023,4,sangareddy,96204412,142932848259.0
telangana,2023,4,warangal urban,64109092,110672394295.0
telangana,2023,4,nalgonda,51511022,97170343461.0
telangana,2023,4,khammam,44437431,79230897582.0
telangana,2023,4,nizamabad,43071426,88928491816.0
telangana,2023,4,karimnagar,43037506,78614458394.0
telangana,2023,4,siddipet,34702592,64665935653.0
